# Hacked up file originally from http://classic.sdss.org/dr1/instruments/imager/index.html#filters
# Wave(nm)  Throughput at X=1.3
  298.0  0.0000
  300.5  0.0001
  303.0  0.0005
  306.0  0.0013
  308.0  0.0026
  310.5  0.0052
  313.0  0.0093
  316.0  0.0161
  318.0  0.0240
  320.5  0.0323
  323.0  0.0405
  326.0  0.0485
  328.0  0.0561
  330.5  0.0634
  333.0  0.0700
  336.0  0.0756
  338.0  0.0803
  340.5  0.0848
  343.0  0.0883
  346.0  0.0917
  348.0  0.0959
  350.5  0.1001
  353.0  0.1029
  356.0  0.1044
  358.0  0.1053
  360.5  0.1063
  363.0  0.1075
  366.0  0.1085
  368.0  0.1084
  370.5  0.1064
  373.0  0.1024
  376.0  0.0966
  378.0  0.0887
  380.5  0.0787
  383.0  0.0672
  386.0  0.0549
  388.0  0.0413
  390.5  0.0268
  393.0  0.0145
  396.0  0.0075
  398.0  0.0042
  400.5  0.0022
  403.0  0.0010
  406.0  0.0006
  408.0  0.0004
  410.5  0.0002
  413.0  0.0000
